# equation of state: birch 1st order.  chisq =   0.1787D-06
# a0 =  7.3751 a.u., k0 = 5210 kbar, dk0 =  8.70 d2k0 =  0.000 emin = -213.76934
# a0 =  3.90272 Ang, k0 = 521.1 GPa,  V0 =   100.29 (a.u.)^3,  V0 =   14.86 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.            Ry           Ry            Ry        GPa           Ry
#########################################################################
  7.40000    -213.76886    -213.76916     0.00029      -5.05     -213.80362
  7.45000    -213.76856    -213.76781    -0.00075     -13.82     -213.86569
  7.50000    -213.76487    -213.76531     0.00045     -20.97     -213.91525
  7.55000    -213.76179    -213.76186     0.00006     -26.69     -213.95704
  7.60000    -213.75735    -213.75761     0.00026     -31.15     -213.98976
  7.65000    -213.75334    -213.75273    -0.00061     -34.50     -214.01585
  7.70000    -213.74700    -213.74736     0.00036     -36.88     -214.03313
  7.75000    -213.74169    -213.74162    -0.00007     -38.41     -214.04552
  7.80000    -213.73529    -213.73564     0.00034     -39.19     -214.05139
  7.85000    -213.73009    -213.72950    -0.00059     -39.34     -214.05349
  7.90000    -213.72305    -213.72330     0.00026     -38.93     -214.04924
